UID          PID    PPID  C STIME TTY          TIME CMD
kennybc      789     694  0 20:32 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
kennybc      793     694  0 20:32 ?        00:00:00 /usr/libexec/goa-daemon
kennybc      816     694  0 20:32 ?        00:00:00 /usr/libexec/goa-identity-service
kennybc      820     694  0 20:32 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
kennybc      828     694  0 20:32 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
root         832       1  0 20:32 ?        00:00:00 /usr/lib/upower/upowerd
kennybc      841     738  0 20:32 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
kennybc      947     841  0 20:32 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
kennybc      970     694  0 20:32 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
kennybc      975     970  0 20:32 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
kennybc      983     694  0 20:32 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
kennybc      989     694  0 20:32 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
kennybc     1004     694  2 20:32 ?        00:00:11 /usr/bin/gnome-shell
kennybc     1025     694  0 20:32 ?        00:00:00 /usr/libexec/gvfsd-metadata
kennybc     1047    1004  0 20:32 ?        00:00:00 ibus-daemon --panel disable --xim
kennybc     1051    1047  0 20:32 ?        00:00:00 /usr/libexec/ibus-memconf
kennybc     1054    1047  0 20:32 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
kennybc     1056     694  0 20:32 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
kennybc     1058     694  0 20:32 ?        00:00:00 /usr/libexec/ibus-portal
kennybc     1069     694  0 20:32 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
kennybc     1073     694  0 20:32 ?        00:00:00 /usr/libexec/xdg-permission-store
kennybc     1078     694  0 20:32 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
kennybc     1084     694  0 20:32 ?        00:00:00 /usr/libexec/evolution-source-registry
kennybc     1094     694  0 20:32 ?        00:00:00 /usr/libexec/evolution-calendar-factory
kennybc     1102     694  0 20:32 ?        00:00:00 /usr/libexec/dconf-service
kennybc     1107     694  0 20:32 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
kennybc     1135     694  0 20:32 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
kennybc     1136     749  0 20:32 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
kennybc     1153     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-a11y-settings
kennybc     1154     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-color
kennybc     1155     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-datetime
kennybc     1156     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-housekeeping
kennybc     1157     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-keyboard
kennybc     1165     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-media-keys
kennybc     1168     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-power
kennybc     1169     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-print-notifications
kennybc     1173     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-rfkill
kennybc     1176     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
kennybc     1179     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-sharing
kennybc     1180     989  0 20:32 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
kennybc     1184     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-smartcard
kennybc     1190     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-sound
kennybc     1196     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-usb-protection
kennybc     1199     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-wacom
kennybc     1203     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-wwan
kennybc     1208     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-xsettings
kennybc     1225     989  0 20:32 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
kennybc     1248     694  0 20:32 ?        00:00:00 /usr/libexec/gsd-printer
colord      1266       1  0 20:32 ?        00:00:00 /usr/libexec/colord
kennybc     1289    1047  0 20:32 ?        00:00:00 /usr/libexec/ibus-engine-simple
kennybc     1351     694  0 20:32 ?        00:00:03 /usr/bin/keybase --use-default-log-file --debug service
kennybc     1389     694  0 20:32 ?        00:00:00 /usr/bin/kbfsfuse -debug -log-to-file
kennybc     1392     694  0 20:32 ?        00:00:00 /usr/bin/keybase-redirector /keybase
kennybc     1412     694  0 20:32 ?        00:00:00 /opt/keybase/Keybase --enable-crashpad
kennybc     1419    1412  0 20:32 ?        00:00:00 /opt/keybase/Keybase --type=zygote --no-zygote-sandbox --enable-crashpad --enable-crashpad
kennybc     1420    1412  0 20:32 ?        00:00:00 /opt/keybase/Keybase --type=zygote --enable-crashpad --enable-crashpad
kennybc     1422    1420  0 20:32 ?        00:00:00 /opt/keybase/Keybase --type=zygote --enable-crashpad --enable-crashpad
kennybc     1443     694  0 20:32 ?        00:00:00 /usr/libexec/xdg-desktop-portal
kennybc     1451     694  0 20:32 ?        00:00:00 /usr/libexec/xdg-document-portal
kennybc     1461     694  0 20:32 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
kennybc     1468    1412  0 20:32 ?        00:00:00 /opt/keybase/Keybase --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --enable-crashpad --enable-crash-reporter=66077755-777b-40b2-a794-14a7777d7995,no_channel --user-data-dir=/home/kennybc/.config/Keybase --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,73628284281295307,17119419513264187020,131072 --disable-features=PlzServiceWorker,SpareRendererForSitePerProcess --enable-crashpad
kennybc     1474    1412  0 20:32 ?        00:00:00 /opt/keybase/Keybase --type=renderer --enable-crashpad --enable-crash-reporter=66077755-777b-40b2-a794-14a7777d7995,no_channel --user-data-dir=/home/kennybc/.config/Keybase --app-path=/opt/keybase/resources/app --no-sandbox --no-zygote --lang=en-US --num-raster-threads=1 --renderer-client-id=4 --launch-time-ticks=25240673 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,73628284281295307,17119419513264187020,131072 --disable-features=PlzServiceWorker,SpareRendererForSitePerProcess --enable-crashpad
kennybc     1478    1412  0 20:32 ?        00:00:01 /opt/keybase/Keybase --type=renderer --enable-crashpad --enable-crash-reporter=66077755-777b-40b2-a794-14a7777d7995,no_channel --user-data-dir=/home/kennybc/.config/Keybase --app-path=/opt/keybase/resources/app --no-sandbox --no-zygote --lang=en-US --num-raster-threads=1 --renderer-client-id=5 --launch-time-ticks=25287101 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,73628284281295307,17119419513264187020,131072 --disable-features=PlzServiceWorker,SpareRendererForSitePerProcess --enable-crashpad
kennybc     1531    1419  0 20:32 ?        00:00:00 /opt/keybase/Keybase --type=gpu-process --enable-crashpad --enable-crash-reporter=66077755-777b-40b2-a794-14a7777d7995,no_channel --user-data-dir=/home/kennybc/.config/Keybase --gpu-preferences=UAAAAAAAAAAgAAAIAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAABgAAAAAAAAAGAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --use-gl=angle --use-angle=swiftshader-webgl --shared-files --field-trial-handle=0,73628284281295307,17119419513264187020,131072 --disable-features=PlzServiceWorker,SpareRendererForSitePerProcess
kennybc     1551     694  0 20:33 ?        00:00:02 /usr/bin/nautilus --gapplication-service
kennybc     1590     694  0 20:33 ?        00:00:02 /usr/libexec/gnome-terminal-server
kennybc     1598    1590  0 20:33 pts/0    00:00:00 bash
kennybc     1608     989  0 20:33 ?        00:00:00 update-notifier
kennybc     3043     734  0 20:37 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
kennybc     3084     694  0 20:39 ?        00:00:00 /usr/libexec/tracker-store
root        3095       2  0 20:40 ?        00:00:00 [kworker/u2:1-events_unbound]
kennybc     3321    1598  0 20:40 pts/0    00:00:00 ps -ef
